access_right,imprint_publisher,communities,conference_acronym,conference_dates,conference_place,conference_title,conference_url,contributors,creators,description,doi,keywords,license,notes,prereserve_doi,publication_date,related_identifiers,publication_type,references,title,upload_type,conceptdoi,files,format,xml_id
open,Zenodo,[{'identifier': 'dhd'}],DHd 2023,13.03.2023-17.03.2023,"Trier, Luxemburg","DHd 2023 Open Humanities Open Culture. 9. Tagung des Verbands ""Digital Humanities im deutschsprachigen Raum""",https://dhd2023.dig-hum.de/,"[{'name': 'Trilcke, Peer', 'affiliation': 'Universität Potsdam, Deutschland', 'type': 'Editor', 'orcid': '0000-0002-1421-4320'}, {'name': 'Busch, Anna', 'affiliation': 'Universität Potsdam, Deutschland', 'type': 'Editor', 'orcid': '0000-0001-5584-4807'}, {'name': 'Helling, Patrick', 'affiliation': 'Digital Humanities im deutschsprachigen Raum e.V., Deutschland', 'type': 'Editor', 'orcid': '0000-0003-4043-165X'}]","[{'name': 'Pollin, Christopher', 'affiliation': 'Zentrum für Informationsmodellierung, Graz, Österreich'}, {'name': 'Strutz, Sabrina', 'affiliation': 'Zentrum für Informationsmodellierung, Graz, Österreich'}, {'name': 'Steiner, Christian', 'affiliation': 'Zentrum für Informationsmodellierung, Graz, Österreich'}, {'name': 'Klug, Helmut', 'affiliation': 'Zentrum für Informationsmodellierung, Graz, Österreich'}]",Eine Posterpr&auml;sentation auf der 9. Tagung des Verbands &quot;Digital Humanities im deutschsprachigen Raum&quot; - DHd 2023 Open Humanities Open Culture,10.5281/zenodo.7711405,"['Digitale Edition', 'Tools', 'Workflow', 'Transkription', 'Annotieren', 'Archivierung', 'Veröffentlichung', 'Werkzeuge', 'DHd2023']",cc-by-4.0,,"{'doi': '10.5281/zenodo.7711405', 'recid': 7711405}",2023-03-10,"[{'identifier': '10.5281/zenodo.7715452', 'relation': 'isSupplementTo', 'resource_type': 'publication-conferencepaper', 'scheme': 'doi'}]",,,DigEdTnT - Digital Edition Creation Pipelines: Tools and Transitions,poster,10.5281/zenodo.7711404,['DHd2023_110_Pollin_DigEdTnT - Digital Edition Creation Pipelines_b.pdf'],,
open,Zenodo,[{'identifier': 'dhd'}],DHd 2023,13.03.2023-17.03.2023,"Trier, Luxemburg","DHd 2023 Open Humanities Open Culture. 9. Tagung des Verbands ""Digital Humanities im deutschsprachigen Raum""",https://dhd2023.dig-hum.de/,"[{'name': 'Trilcke, Peer', 'affiliation': 'Universität Potsdam, Deutschland', 'type': 'Editor', 'orcid': '0000-0002-1421-4320'}, {'name': 'Busch, Anna', 'affiliation': 'Universität Potsdam, Deutschland', 'type': 'Editor', 'orcid': '0000-0001-5584-4807'}, {'name': 'Helling, Patrick', 'affiliation': 'Digital Humanities im deutschsprachigen Raum e.V., Deutschland', 'type': 'Editor', 'orcid': '0000-0003-4043-165X'}]","[{'name': 'Grießer, Martina', 'affiliation': 'Kunsthistorisches Museum, Wien, Österreich'}, {'name': 'Hanzer, Helene', 'affiliation': 'Kunsthistorisches Museum, Wien, Österreich'}, {'name': 'Kirchweger, Franz', 'affiliation': 'Kunsthistorisches Museum, Wien, Österreich'}, {'name': 'Kloser, Peter', 'affiliation': 'Kunsthistorisches Museum, Wien, Österreich'}, {'name': 'Lamers, Teresa', 'affiliation': 'Kunsthistorisches Museum, Wien, Österreich'}, {'name': 'Pollin, Christopher', 'affiliation': 'Zentrum für Informationsmodellierung, Universität Graz, Österreich'}, {'name': 'Scholger, Martina', 'affiliation': 'Zentrum für Informationsmodellierung, Universität Graz, Österreich'}, {'name': 'Steiner, Elisabeth', 'affiliation': 'Zentrum für Informationsmodellierung, Universität Graz, Österreich'}, {'name': 'Vasold, Gunter', 'affiliation': 'Zentrum für Informationsmodellierung, Universität Graz, Österreich'}]",Eine Posterpr&auml;sentation auf der 9. Tagung des Verbands &quot;Digital Humanities im deutschsprachigen Raum&quot; - DHd 2023 Open Humanities Open Culture,10.5281/zenodo.7711407,"['Forschungsdaten', 'Museum', 'Kulturerbe', 'Ontologie', 'Teilen', 'Modellierung', 'Annotieren', 'Veröffentlichung', 'Artefakte', 'Daten', 'DHd2023']",cc-by-4.0,,"{'doi': '10.5281/zenodo.7711407', 'recid': 7711407}",2023-03-10,"[{'identifier': '10.5281/zenodo.7715502', 'relation': 'isSupplementTo', 'resource_type': 'publication-conferencepaper', 'scheme': 'doi'}]",,,Sharing the CROWN - Von Sammlungsdaten zu Linked Open Research Data,poster,10.5281/zenodo.7711406,['DHd2023_111_Grie├ƒer_Sharing the CROWN_b.pdf'],,
open,Zenodo,[{'identifier': 'dhd'}],DHd 2023,13.03.2023-17.03.2023,"Trier, Luxemburg","DHd 2023 Open Humanities Open Culture. 9. Tagung des Verbands ""Digital Humanities im deutschsprachigen Raum""",https://dhd2023.dig-hum.de/,"[{'name': 'Trilcke, Peer', 'affiliation': 'Universität Potsdam, Deutschland', 'type': 'Editor', 'orcid': '0000-0002-1421-4320'}, {'name': 'Busch, Anna', 'affiliation': 'Universität Potsdam, Deutschland', 'type': 'Editor', 'orcid': '0000-0001-5584-4807'}, {'name': 'Helling, Patrick', 'affiliation': 'Digital Humanities im deutschsprachigen Raum e.V., Deutschland', 'type': 'Editor', 'orcid': '0000-0003-4043-165X'}]","[{'name': 'Meier-Vieracker, Simon', 'affiliation': 'TU Dresden, Deutschland', 'orcid': '0000-0002-0141-9327'}, {'name': 'Weigelt, Lucie', 'affiliation': 'TU Dresden, Deutschland'}, {'name': 'Dutschke, René', 'affiliation': 'TU Dresden, Deutschland'}, {'name': 'Lasch, Alexander', 'affiliation': 'TU Dresden, Deutschland', 'orcid': '0000-0003-4046-3993'}, {'name': 'Scherbaum, Stefan', 'affiliation': 'TU Dresden, Deutschland', 'orcid': '0000-0002-4408-6016'}, {'name': 'Seemann, Sophia', 'affiliation': 'TU Dresden, Deutschland'}, {'name': 'Pfeifer, Ulrike', 'affiliation': 'TU Dresden, Deutschland'}]",Eine Posterpr&auml;sentation auf der 9. Tagung des Verbands &quot;Digital Humanities im deutschsprachigen Raum&quot; - DHd 2023 Open Humanities Open Culture,10.5281/zenodo.7711416,"['Openness', 'Korpuslinguistik', 'Framesemantik', 'Sammlung', 'Inhaltsanalyse', 'Annotieren', 'Theoretisierung', 'Visualisierung', 'Text', 'DHd2023']",cc-by-4.0,,"{'doi': '10.5281/zenodo.7711416', 'recid': 7711416}",2023-03-10,"[{'identifier': '10.5281/zenodo.7715432', 'relation': 'isSupplementTo', 'resource_type': 'publication-conferencepaper', 'scheme': 'doi'}]",,,Was heißt eigentlich 'offen'? Eine korpuslinguistische Untersuchung am Beispiel des bibliothekarischen Diskurses der SLUB Dresden,poster,10.5281/zenodo.7711415,"[""DHd2023_112_Meier-Vieracker_Was hei├ƒt eigentlich ,offen' Eine korpuslinguistische Untersuchung am Beispiel de_b.pdf""]",,
open,Zenodo,[{'identifier': 'dhd'}],DHd 2023,13.03.2023-17.03.2023,"Trier, Luxemburg","DHd 2023 Open Humanities Open Culture. 9. Tagung des Verbands ""Digital Humanities im deutschsprachigen Raum""",https://dhd2023.dig-hum.de/,"[{'name': 'Trilcke, Peer', 'affiliation': 'Universität Potsdam, Deutschland', 'type': 'Editor', 'orcid': '0000-0002-1421-4320'}, {'name': 'Busch, Anna', 'affiliation': 'Universität Potsdam, Deutschland', 'type': 'Editor', 'orcid': '0000-0001-5584-4807'}, {'name': 'Helling, Patrick', 'affiliation': 'Digital Humanities im deutschsprachigen Raum e.V., Deutschland', 'type': 'Editor', 'orcid': '0000-0003-4043-165X'}]","[{'name': 'Borek, Luise', 'affiliation': 'Technische Universität Darmstadt, Deutschland', 'orcid': '0000-0001-5849-374X'}, {'name': 'Busch, Hannah', 'affiliation': 'Huygens Instituut, Niederlande', 'orcid': '0000-0002-3491-8202'}, {'name': 'Ketschik, Nora', 'affiliation': 'Universität Stuttgart, Deutschland'}]",Eine Posterpr&auml;sentation auf der 9. Tagung des Verbands &quot;Digital Humanities im deutschsprachigen Raum&quot; - DHd 2023 Open Humanities Open Culture,10.5281/zenodo.7711422,"['Linked Open Data', 'Mediävistik', 'Vernetzung', 'Modellierung', 'Annotieren', 'Theoretisierung', 'Community-Bildung', 'Kollaboration', 'Organisation', 'DHd2023']",cc-by-4.0,,"{'doi': '10.5281/zenodo.7711422', 'recid': 7711422}",2023-03-10,"[{'identifier': '10.5281/zenodo.7715271', 'relation': 'isSupplementTo', 'resource_type': 'publication-conferencepaper', 'scheme': 'doi'}]",,,Netzwerk Offenes Mittelalter,poster,10.5281/zenodo.7711421,['DHd2023_118_Borek_Netzwerk Offenes Mittelalter_b.pdf'],,
open,Zenodo,[{'identifier': 'dhd'}],DHd 2023,13.03.2023-17.03.2023,"Trier, Luxemburg","DHd 2023 Open Humanities Open Culture. 9. Tagung des Verbands ""Digital Humanities im deutschsprachigen Raum""",https://dhd2023.dig-hum.de/,"[{'name': 'Trilcke, Peer', 'affiliation': 'Universität Potsdam, Deutschland', 'type': 'Editor', 'orcid': '0000-0002-1421-4320'}, {'name': 'Busch, Anna', 'affiliation': 'Universität Potsdam, Deutschland', 'type': 'Editor', 'orcid': '0000-0001-5584-4807'}, {'name': 'Helling, Patrick', 'affiliation': 'Digital Humanities im deutschsprachigen Raum e.V., Deutschland', 'type': 'Editor', 'orcid': '0000-0003-4043-165X'}]","[{'name': 'Aehnlich, Barbara', 'affiliation': 'Friedrich-Schiller-Universität Jena, Deutschland', 'orcid': '0000-0003-1492-7766'}, {'name': 'Kunze, Petra', 'affiliation': 'Thüringer Universitäts- und Landesbibliothek Jena, Deutschland'}]",Eine Posterpr&auml;sentation auf der 9. Tagung des Verbands &quot;Digital Humanities im deutschsprachigen Raum&quot; - DHd 2023 Open Humanities Open Culture,10.5281/zenodo.7711426,"['Flurnamenforschung', 'Thüringisches Flurnamenportal', 'kulturelles Erbe', 'Citizen Science', 'Open Culture', 'Digitalisierung Flurnamenarchiv', 'Sammlung', 'Archivierung', 'Community-Bildung', 'Kollaboration', 'Visualisierung', 'Karte', 'DHd2023']",cc-by-4.0,,"{'doi': '10.5281/zenodo.7711426', 'recid': 7711426}",2023-03-10,"[{'identifier': '10.5281/zenodo.7715251', 'relation': 'isSupplementTo', 'resource_type': 'publication-conferencepaper', 'scheme': 'doi'}]",,,Das Thüringische Flurnamenportal,poster,10.5281/zenodo.7711425,['DHd2023_123_Aehnlich_Das Thu╠êringische Flurnamenportal_b.pdf'],,
open,Zenodo,[{'identifier': 'dhd'}],DHd 2023,13.03.2023-17.03.2023,"Trier, Luxemburg","DHd 2023 Open Humanities Open Culture. 9. Tagung des Verbands ""Digital Humanities im deutschsprachigen Raum""",https://dhd2023.dig-hum.de/,"[{'name': 'Trilcke, Peer', 'affiliation': 'Universität Potsdam, Deutschland', 'type': 'Editor', 'orcid': '0000-0002-1421-4320'}, {'name': 'Busch, Anna', 'affiliation': 'Universität Potsdam, Deutschland', 'type': 'Editor', 'orcid': '0000-0001-5584-4807'}, {'name': 'Helling, Patrick', 'affiliation': 'Digital Humanities im deutschsprachigen Raum e.V., Deutschland', 'type': 'Editor', 'orcid': '0000-0003-4043-165X'}]","[{'name': 'Gerber, Anja', 'affiliation': 'Berlin-Brandenburgische Akademie der Wissenschaften, Deutschland'}]",Eine Posterpr&auml;sentation auf der 9. Tagung des Verbands &quot;Digital Humanities im deutschsprachigen Raum&quot; - DHd 2023 Open Humanities Open Culture,10.5281/zenodo.7711434,"['Forschungsdateninfrastruktur', 'Datenmodell', 'Metadaten', 'Daten', 'Infrastruktur', 'Metadaten', 'Methoden', 'Multimodale Kommunikation', 'Forschungsprozess', 'DHd2023']",cc-by-4.0,,"{'doi': '10.5281/zenodo.7711434', 'recid': 7711434}",2023-03-10,"[{'identifier': '10.5281/zenodo.7715821', 'relation': 'isSupplementTo', 'resource_type': 'publication-conferencepaper', 'scheme': 'doi'}]",,,Die besonderen Herausforderungen multimodaler heterogener Daten- und Quellentypen an die Datenverwaltung. Ist eine Forschungsdateninfrastruktur ohne eine Datenbank umsetzbar?,poster,10.5281/zenodo.7711433,['DHd2023_125_Gerber_Die besonderen Herausforderungen multimodaler heterogener Daten_b.pdf'],,
open,Zenodo,[{'identifier': 'dhd'}],DHd 2023,13.03.2023-17.03.2023,"Trier, Luxemburg","DHd 2023 Open Humanities Open Culture. 9. Tagung des Verbands ""Digital Humanities im deutschsprachigen Raum""",https://dhd2023.dig-hum.de/,"[{'name': 'Trilcke, Peer', 'affiliation': 'Universität Potsdam, Deutschland', 'type': 'Editor', 'orcid': '0000-0002-1421-4320'}, {'name': 'Busch, Anna', 'affiliation': 'Universität Potsdam, Deutschland', 'type': 'Editor', 'orcid': '0000-0001-5584-4807'}, {'name': 'Helling, Patrick', 'affiliation': 'Digital Humanities im deutschsprachigen Raum e.V., Deutschland', 'type': 'Editor', 'orcid': '0000-0003-4043-165X'}]","[{'name': 'Blumtritt, Jonathan', 'affiliation': 'Universität zu Köln, Cologne Center for eHumanities, Deutschland', 'orcid': '0000-0002-1438-379X'}, {'name': 'Cugliana, Elisa', 'affiliation': 'Universität zu Köln, Cologne Center for eHumanities, Deutschland', 'orcid': '0000-0002-6460-2954'}, {'name': 'Geißler, Nils', 'affiliation': 'Universität zu Köln, Cologne Center for eHumanities, Deutschland', 'orcid': '0000-0002-5852-1402'}, {'name': 'Hegel, Philipp', 'affiliation': 'Technische Universität Darmstadt, Deutschland', 'orcid': '0000-0001-6867-1511'}, {'name': 'Hensen, Kilian', 'affiliation': 'Universität zu Köln, Cologne Center for eHumanities, Deutschland', 'orcid': '0000-0001-6708-1237'}, {'name': 'Hörnschemeyer, Jörg', 'affiliation': 'Deutsches Historisches Institut Rom, Deutschland', 'orcid': '0000-0001-8788-5718'}, {'name': 'Kudella, Christoph', 'affiliation': 'Niedersächsische Staats- und Universitätsbibliothek Göttingen, Deutschland', 'orcid': '0000-0002-9645-7122'}, {'name': 'Lemke, Karoline', 'affiliation': 'Berlin-Brandenburgische Akademie der Wissenschaften, Deutschland', 'orcid': '0000-0002-1604-672X'}, {'name': 'Lordick, Harald', 'affiliation': 'Salomon Ludwig Steinheim-Institut für deutsch-jüdische Geschichte an der Universität Duisburg-Essen, Deutschland', 'orcid': '0000-0002-5070-4263'}, {'name': 'Neuber, Frederike', 'affiliation': 'Berlin-Brandenburgische Akademie der Wissenschaften, Deutschland', 'orcid': '0000-0001-8279-9298'}, {'name': 'Neuefeind, Claes', 'affiliation': 'Universität zu Köln, Cologne Center for eHumanities, Deutschland', 'orcid': '0000-0002-9377-9492'}, {'name': 'Schulz, Daniela', 'affiliation': 'Herzog August Bibliothek Wolfenbüttel, Deutschland', 'orcid': '0000-0003-3167-5089'}, {'name': 'Seltmann, Melanie Elisabeth-H.', 'affiliation': 'Universitäts- und Landesbibliothek Darmstadt, Deutschland', 'orcid': '0000-0002-7588-4395'}, {'name': 'Sievers, Martin', 'affiliation': 'Akademie der Wissenschaften und der Literatur | Mainz, Deutschland', 'orcid': '0000-0002-9079-8911'}, {'name': 'Gengnagel, Tessa', 'affiliation': 'Universität zu Köln, Cologne Center for eHumanities, Deutschland', 'orcid': '0000-0001-8820-5112'}]",Eine Posterpr&auml;sentation auf der 9. Tagung des Verbands &quot;Digital Humanities im deutschsprachigen Raum&quot; - DHd 2023 Open Humanities Open Culture,10.5281/zenodo.7711442,"['FAIR principles', 'GND', 'Registry', 'Vernetzung', 'Methoden', 'Projekte', 'Forschung', 'Software', 'Standards', 'Text', 'DHd2023']",cc-by-4.0,,"{'doi': '10.5281/zenodo.7711442', 'recid': 7711442}",2023-03-10,"[{'identifier': '10.5281/zenodo.7715484', 'relation': 'isSupplementTo', 'resource_type': 'publication-conferencepaper', 'scheme': 'doi'}]",,,Offene Editionen – Die Task Area Editionen im NFDI-Konsortium Text+,poster,10.5281/zenodo.7711441,['DHd2023_126_Blumtritt_Offene Editionen - Die Task Area Editionen im NFDI-Konsortium Text_b.pdf'],,
open,Zenodo,[{'identifier': 'dhd'}],DHd 2023,13.03.2023-17.03.2023,"Trier, Luxemburg","DHd 2023 Open Humanities Open Culture. 9. Tagung des Verbands ""Digital Humanities im deutschsprachigen Raum""",https://dhd2023.dig-hum.de/,"[{'name': 'Trilcke, Peer', 'affiliation': 'Universität Potsdam, Deutschland', 'type': 'Editor', 'orcid': '0000-0002-1421-4320'}, {'name': 'Busch, Anna', 'affiliation': 'Universität Potsdam, Deutschland', 'type': 'Editor', 'orcid': '0000-0001-5584-4807'}, {'name': 'Helling, Patrick', 'affiliation': 'Digital Humanities im deutschsprachigen Raum e.V., Deutschland', 'type': 'Editor', 'orcid': '0000-0003-4043-165X'}]","[{'name': 'Henning, Pia', 'affiliation': 'Deutsches Biomasseforschungszentrum / Julius-Maximilians-Universität Würzburg, Deutschland'}]",Eine Posterpr&auml;sentation auf der 9. Tagung des Verbands &quot;Digital Humanities im deutschsprachigen Raum&quot; - DHd 2023 Open Humanities Open Culture,10.5281/zenodo.7711446,"['Kriegsspiel', 'Natural Language Processing', 'Textkorpus', 'Sammlung', 'Beziehungsanalyse', 'Annotieren', 'Veröffentlichung', 'Stilistische Analyse', 'Text', 'DHd2023']",cc-by-4.0,,"{'doi': '10.5281/zenodo.7711446', 'recid': 7711446}",2023-03-10,"[{'identifier': '10.5281/zenodo.7715349', 'relation': 'isSupplementTo', 'resource_type': 'publication-conferencepaper', 'scheme': 'doi'}]",,,Das preußische Kriegsspiel als Forschungsobjekt,poster,10.5281/zenodo.7711445,['DHd2023_128_Henning_Das preu├ƒische Kriegsspiel als Forschungsobjekt_b.pdf'],,
open,Zenodo,[{'identifier': 'dhd'}],DHd 2023,13.03.2023-17.03.2023,"Trier, Luxemburg","DHd 2023 Open Humanities Open Culture. 9. Tagung des Verbands ""Digital Humanities im deutschsprachigen Raum""",https://dhd2023.dig-hum.de/,"[{'name': 'Trilcke, Peer', 'affiliation': 'Universität Potsdam, Deutschland', 'type': 'Editor', 'orcid': '0000-0002-1421-4320'}, {'name': 'Busch, Anna', 'affiliation': 'Universität Potsdam, Deutschland', 'type': 'Editor', 'orcid': '0000-0001-5584-4807'}, {'name': 'Helling, Patrick', 'affiliation': 'Digital Humanities im deutschsprachigen Raum e.V., Deutschland', 'type': 'Editor', 'orcid': '0000-0003-4043-165X'}]","[{'name': 'Neuber, Frederike', 'affiliation': 'Berlin-Brandenburgische Akademie der Wissenschaften, Deutschland', 'orcid': '0000-0001-8279-9298'}, {'name': 'Lecroq, Axelle', 'affiliation': 'Berlin-Brandenburgische Akademie der Wissenschaften, Deutschland', 'orcid': '0000-0002-1562-9966'}]",Eine Posterpr&auml;sentation auf der 9. Tagung des Verbands &quot;Digital Humanities im deutschsprachigen Raum&quot; - DHd 2023 Open Humanities Open Culture,10.5281/zenodo.7711454,"['digitale Edition', 'Briefedition', 'Open Data', 'Teilen', 'Transkription', 'Kontextsetzung', 'Veröffentlichung', 'Daten', 'Forschungsergebnis', 'DHd2023']",cc-by-4.0,,"{'doi': '10.5281/zenodo.7711454', 'recid': 7711454}",2023-03-10,"[{'identifier': '10.5281/zenodo.7715436', 'relation': 'isSupplementTo', 'resource_type': 'publication-conferencepaper', 'scheme': 'doi'}]",,,Open Jean Paul,poster,10.5281/zenodo.7711453,['DHd2023_132_Neuber_Open Jean Paul_b.pdf'],,
open,Zenodo,[{'identifier': 'dhd'}],DHd 2023,13.03.2023-17.03.2023,"Trier, Luxemburg","DHd 2023 Open Humanities Open Culture. 9. Tagung des Verbands ""Digital Humanities im deutschsprachigen Raum""",https://dhd2023.dig-hum.de/,"[{'name': 'Trilcke, Peer', 'affiliation': 'Universität Potsdam, Deutschland', 'type': 'Editor', 'orcid': '0000-0002-1421-4320'}, {'name': 'Busch, Anna', 'affiliation': 'Universität Potsdam, Deutschland', 'type': 'Editor', 'orcid': '0000-0001-5584-4807'}, {'name': 'Helling, Patrick', 'affiliation': 'Digital Humanities im deutschsprachigen Raum e.V., Deutschland', 'type': 'Editor', 'orcid': '0000-0003-4043-165X'}]","[{'name': 'Lang, Christian', 'affiliation': 'Leibniz-Institut für Deutsche Sprache, Deutschland'}, {'name': 'Tu, Ngoc Duyen Tanja', 'affiliation': 'Leibniz-Institut für Deutsche Sprache, Deutschland'}, {'name': 'Schneider, Roman', 'affiliation': 'Leibniz-Institut für Deutsche Sprache, Deutschland'}, {'name': 'Volodina, Anna', 'affiliation': 'Leibniz-Institut für Deutsche Sprache, Deutschland'}]",Eine Posterpr&auml;sentation auf der 9. Tagung des Verbands &quot;Digital Humanities im deutschsprachigen Raum&quot; - DHd 2023 Open Humanities Open Culture,10.5281/zenodo.7711460,"['Korpusaufbereitung', 'Anonymisierung', 'Terminologie', 'Chatbot', 'Programmierung', 'Annotieren', 'Bereinigung', 'Archivierung', 'Sprache', 'Methoden', 'DHd2023']",cc-by-4.0,,"{'doi': '10.5281/zenodo.7711460', 'recid': 7711460}",2023-03-10,"[{'identifier': '10.5281/zenodo.7715518', 'relation': 'isSupplementTo', 'resource_type': 'publication-conferencepaper', 'scheme': 'doi'}]",,,Projektvorstellung – Sprachanfragen. Empirisch gestützte Erforschung von Zweifelsfällen,poster,10.5281/zenodo.7711459,['DHd2023_134_Lang_Projektvorstellung - Sprachanfragen Empirisch gestu╠êtzte Erforschung von Zweifelsfa╠êllen_b.pdf'],,
